"","ID","Temperature","Quadratic.points","Cubic.points","Briere.points"
"16559",319,29.812784,194.031269046514,186.922576227456,203.264056503312
"16560",319,31.812784,161.843139015531,163.270664839992,166.377852823619
"16561",319,33.812784,120.664050438747,139.92483408814,84.7594623259114
"16562",319,35.812784,70.4940033161644,119.263062551262,NA
"16563",319,37.812784,11.3329976477816,103.663328808718,NA
"16564",319,39.812784,-56.818966566401,95.5036114398684,NA
"16565",319,41.812784,-133.961889326383,97.1618890240737,NA
"16566",319,43.812784,-220.095770632166,111.016140140695,NA
"16567",319,45.812784,-315.220610483747,139.444343369091,NA
"16568",319,47.812784,-419.336408881129,184.824477288625,NA
"16569",319,49.812784,-532.443165824311,249.534520478655,NA
"16570",319,51.812784,-654.540881313292,335.952451518542,NA
"16571",319,53.812784,-785.629555348073,446.456248987648,NA
"16572",319,55.812784,-925.709187928654,583.423891465332,NA
"16573",319,57.812784,-1074.77977905503,749.233357530955,NA
"16574",319,59.812784,-1232.84132872721,946.262625763877,NA
"16575",319,61.812784,-1399.89383694519,1176.88967474346,NA
"16576",319,63.812784,-1575.93730370897,1443.49248304906,NA
"16577",319,65.812784,-1760.97172901855,1748.44902926004,NA
"16578",319,67.812784,-1954.99711287393,2094.13729195577,NA
"16579",319,69.812784,-2158.01345527511,2482.9352497156,NA
"16580",319,71.812784,-2370.02075622209,2917.22088111889,NA
"16581",319,73.812784,-2591.01901571487,3399.372164745,NA
"16582",319,75.812784,-2821.00823375345,3931.76707917329,NA
"16583",319,77.812784,-3059.98841033783,4516.78360298313,NA
"16584",319,79.812784,-3307.959545468,5156.79971475387,NA
"16585",319,81.812784,-3564.92163914398,5854.19339306488,NA
"16586",319,83.812784,-3830.87469136576,6611.34261649551,NA
"16587",319,85.812784,-4105.81870213334,7430.62536362513,NA
"16588",319,87.812784,-4389.75367144671,8314.4196130331,NA
"16589",320,-14.187216,-0.182465316901928,-3.20719765517688,0.264351894171037
"16590",320,-12.187216,-0.200915049695308,-2.69843178568031,0.178654903519056
"16591",320,-10.187216,-0.209689826946226,-2.24408409912397,0.109401561917438
"16592",320,-8.187216,-0.208789648654683,-1.84007299431711,0.0562737731501038
"16593",320,-6.187216,-0.198214514820678,-1.48231687006894,0.0189489614369743
"16594",320,-4.187216,-0.177964425444213,-1.16673412518871,-0.00290009180470189
"16595",320,-2.187216,-0.148039380525285,-0.889243158485649,-0.00960542033021958
"16596",320,-0.187215999999999,-0.108439380063897,-0.645762368768989,-0.00150405524892075
"16597",320,1.812784,-0.0591644240600469,-0.432210154847964,0.0210617822390149
"16598",320,3.812784,-0.00021451251373561,-0.244504915531808,0.0577444767366
"16599",320,5.812784,0.0684103545750371,-0.0785650496297539,0.108190802282794
"16600",320,7.812784,0.146710177206271,0.0696910440489646,0.172041692744677
"16601",320,9.812784,0.234684955379966,0.204344966695114,0.248931997892302
"16602",320,11.812784,0.332334689096123,0.329478319499461,0.338490223970441
"16603",320,13.812784,0.439659378354741,0.449172703652773,0.44033825745912
"16604",320,15.812784,0.55665902315582,0.567509720345815,0.55409107057744
"16605",320,17.812784,0.683333623499361,0.688570970769355,0.679356406930433
"16606",320,19.812784,0.819683179385363,0.816438056114159,0.815734445524107
"16607",320,21.812784,0.965707690813826,0.955192577570994,0.962817441176403
"16608",320,23.812784,1.12140715778475,1.10891613633063,1.120189339128
"16609",320,25.812784,1.28678158029814,1.28169033358382,1.28742536140268
"16610",320,27.812784,1.46183095835398,1.47759677052135,1.46409156217743
"16611",320,29.812784,1.64655529195229,1.70071704833397,1.64974434909189
"16612",320,31.812784,1.84095458109306,1.95513276821246,1.84392996704837
"16613",320,33.812784,2.04502882577629,2.24492553134757,2.04618394061916
"16614",320,35.812784,2.25877802600199,2.57417693893009,2.25603047067806
"16615",320,37.812784,2.48220218177014,2.94696859215076,2.47298178029554
"16616",320,39.812784,2.71530129308076,3.36738209220037,2.69653740426837
"16617",320,41.812784,2.95807535993383,3.83949904026967,2.92618341587807
"16618",320,43.812784,3.21052438232937,4.36740103754944,3.16139158356669
"16619",320,45.812784,3.47264836026737,4.95516968523043,3.40161844915949
"16620",320,47.812784,3.74444729374783,5.60688658450343,3.64630431802034
"16621",320,49.812784,4.02592118277075,6.32663333655918,3.89487215006023
"16622",320,51.812784,4.31707002733614,7.11849154258846,4.14672633878488
"16623",320,53.812784,4.61789382744398,7.98654280378205,4.40125136350701
"16624",320,55.812784,4.92839258309429,8.93486872133069,4.65781029738928
"16625",320,57.812784,5.24856629428705,9.96755089642516,4.91574315103561
"16626",320,59.812784,5.57841496102228,11.0886709302562,5.17436502779551
"16627",320,61.812784,5.91793858329997,12.3023104240147,5.43296406264426
"16628",320,63.812784,6.26713716112012,13.6125509788912,5.69079911126309
"16629",320,65.812784,6.62601069448274,15.0234741960767,5.9470971495293
"16630",320,67.812784,6.99455918338781,16.5391616767618,6.20105033572406
"16631",320,69.812784,7.37278262783535,18.1636950221373,6.451812677968
"16632",320,71.812784,7.76068102782534,19.9011558333941,6.69849623716467
"16633",320,73.812784,8.1582543833578,21.7556257117228,6.94016678035449
"16634",320,75.812784,8.56550269443272,23.7311862583142,7.17583877989754
"16635",320,77.812784,8.9824259610501,25.8319190743591,7.40446962901231
"16636",320,79.812784,9.40902418320994,28.0619057610483,7.62495291211704
"16637",320,81.812784,9.84529736091225,30.4252279195725,7.83611052668244
"16638",320,83.812784,10.291245494157,32.9259671511226,8.03668339844658
"16639",320,85.812784,10.7468685829442,35.5682050568891,8.2253204589463
"16640",320,87.812784,11.2121666272739,38.356023238063,8.40056545629568
"16641",321,-14.187216,1.76143433458358,-0.502498716795611,0.0697048458296989
"16642",321,-12.187216,1.55650823044265,-0.356663387093428,0.0354921380576625
"16643",321,-10.187216,1.36806776770924,-0.232117854903698,0.00944020524091723
"16644",321,-8.187216,1.19611294638334,-0.126738051703071,-0.0085426144326666
"16645",321,-6.187216,1.04064376646496,-0.0383999089681917,-0.0185486975576655
"16646",321,-4.187216,0.901660227954102,0.0350206418242909,-0.0206711496762525
"16647",321,-2.187216,0.77916233085076,0.095647669197729,-0.0150038198692695
"16648",321,-0.187215999999999,0.673150075154936,0.145605241675475,-0.00164131579011969
"16649",321,1.812784,0.583623460866629,0.187017427780881,0.0193209808407903
"16650",321,3.812784,0.51058248798584,0.2220082960373,0.0477868982624543
